participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_source,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,room_realism_rating,space_realism_rating,eye_contact_percentage,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic,pref_room_realistic,pref_space_realistic,pref_eye_contact
M23,33,male,5,5,4,1,2,1,sync,experimenter,positive,4,4,4,3,1,2,2,2,10,1,1,1,1,1,1,2,2,1
M23,33,male,5,5,4,1,2,1,sync,participant,negative,3,3,4,3,1,2,3,4,9,1,1,1,1,1,1,2,2,1
M23,33,male,5,5,4,1,2,1,sync,participant,positive,3,4,4,3,1,2,3,3,9,1,1,1,1,1,1,2,2,1
M23,33,male,5,5,4,1,2,1,unreal,participant,negative,2,2,2,3,3,2,3,2,82,1,1,1,1,1,1,2,2,1
M23,33,male,5,5,4,1,2,1,unreal,participant,positive,3,3,3,3,3,2,3,3,89,1,1,1,1,1,1,2,2,1
M24,21,female,5,5,3,2,2,1,sync,experimenter,negative,4,4,4,2,2,2,3,4,10,1,2,1,1,1,1,2,1,1
M24,21,female,5,5,3,2,2,1,sync,experimenter,positive,4,4,4,2,2,2,3,2,10,1,2,1,1,1,1,2,1,1
M24,21,female,5,5,3,2,2,1,sync,participant,negative,2,4,4,2,2,2,4,4,10,1,2,1,1,1,1,2,1,1
M24,21,female,5,5,3,2,2,1,sync,participant,positive,3,4,3,2,2,2,4,4,10,1,2,1,1,1,1,2,1,1
M24,21,female,5,5,3,2,2,1,unreal,participant,negative,3,4,4,3,3,3,4,4,66,1,2,1,1,1,1,2,1,1
M24,21,female,5,5,3,2,2,1,unreal,participant,positive,3,4,4,3,3,3,4,4,56,1,2,1,1,1,1,2,1,1
M5,36,female,5,5,2,1,2,1,sync,experimenter,negative,3,3,3,3,3,3,3,3,60,2,2,2,2,2,2,2,2,2
M5,36,female,5,5,2,1,2,1,sync,experimenter,positive,3,3,3,3,3,3,3,3,61,2,2,2,2,2,2,2,2,2
M5,36,female,5,5,2,1,2,1,sync,participant,negative,3,3,3,3,3,3,3,3,70,2,2,2,2,2,2,2,2,2
M5,36,female,5,5,2,1,2,1,sync,participant,positive,3,3,3,3,3,3,3,3,61,2,2,2,2,2,2,2,2,2
M5,36,female,5,5,2,1,2,1,unreal,participant,negative,2,3,3,2,2,2,2,2,51,2,2,2,2,2,2,2,2,2
M5,36,female,5,5,2,1,2,1,unreal,participant,positive,3,3,3,2,2,2,2,2,50,2,2,2,2,2,2,2,2,2
M56,34,male,5,2,1,1,5,2,sync,experimenter,negative,2,1,2,1,1,2,2,2,19,1,1,1,1,1,1,1,1,1
M56,34,male,5,2,1,1,5,2,sync,experimenter,positive,2,1,2,2,1,1,2,2,24,1,1,1,1,1,1,1,1,1
M56,34,male,5,2,1,1,5,2,sync,participant,negative,2,1,2,1,1,2,2,2,23,1,1,1,1,1,1,1,1,1
M56,34,male,5,2,1,1,5,2,sync,participant,positive,2,1,2,1,1,1,2,2,21,1,1,1,1,1,1,1,1,1
M56,34,male,5,2,1,1,5,2,unreal,participant,negative,3,2,3,2,2,2,3,3,39,1,1,1,1,1,1,1,1,1
M56,34,male,5,2,1,1,5,2,unreal,participant,positive,3,2,3,2,2,3,3,3,39,1,1,1,1,1,1,1,1,1
N10,48,female,5,5,5,1,1,1,sync,experimenter,negative,2,2,2,1,1,1,1,1,6,1,1,1,3,1,1,3,1,1
N10,48,female,5,5,5,1,1,1,sync,experimenter,positive,2,2,2,2,1,1,1,1,5,1,1,1,3,1,1,3,1,1
N10,48,female,5,5,5,1,1,1,sync,participant,negative,2,2,3,2,1,1,1,1,10,1,1,1,3,1,1,3,1,1
N10,48,female,5,5,5,1,1,1,sync,participant,positive,2,3,3,1,1,1,1,1,9,1,1,1,3,1,1,3,1,1
