outcome,participant_code,effect,post_mean,post_sd,prior_sd,bits
Realism,N10,Avatar slope (fidelity sensitivity),-0.1314487739963107,0.24615314410002082,1.0743329958152494,1.4531329950681133
Realism,N22,Avatar slope (fidelity sensitivity),0.3749312118215695,0.23976104995092576,1.0743329958152494,1.5662074446601555
Realism,N44,Avatar slope (fidelity sensitivity),-0.20891337663478077,0.24464086780819777,1.0743329958152494,1.478038118851935
Realism,N58,Avatar slope (fidelity sensitivity),0.04339453362213476,0.2413795201931817,1.0743329958152494,1.4703093553154971
Realism,O12,Avatar slope (fidelity sensitivity),2.213358792150772,0.24166581807895954,1.0743329958152494,4.529263171097213
Realism,R20,Avatar slope (fidelity sensitivity),0.19074669661888555,0.23833281369871143,1.0743329958152494,1.5092841994568047
Realism,S11,Avatar slope (fidelity sensitivity),-0.8553913067543403,0.24492733685859497,1.0743329958152494,1.906455152820509
Realism,S2,Avatar slope (fidelity sensitivity),-0.12891962841093704,0.2372941903435791,1.0743329958152494,1.5029241352657243
Realism,S28,Avatar slope (fidelity sensitivity),0.42520699302353693,0.244225676337426,1.0743329958152494,1.566081801612871
Realism,S38,Avatar slope (fidelity sensitivity),0.35847072458331014,0.24961727231532457,1.0743329958152494,1.5035566676959797
Realism,S46,Avatar slope (fidelity sensitivity),1.1572098552204655,0.24977636493398317,1.0743329958152494,2.2593098106609646
Realism,S5,Avatar slope (fidelity sensitivity),0.4262533231830415,0.24888764212756007,1.0743329958152494,1.5407956421101163
Realism,S6,Avatar slope (fidelity sensitivity),-0.35844888121479335,0.24373462746453534,1.0743329958152494,1.5361395877354838
Realism,T26,Avatar slope (fidelity sensitivity),1.4954914238034112,0.2506350638293138,1.0743329958152494,2.8154598629904033
Realism,T3,Avatar slope (fidelity sensitivity),0.839730160736964,0.24179129708047137,1.0743329958152494,1.907500981415396
Realism,T32,Avatar slope (fidelity sensitivity),1.5707163016833698,0.23918610024185213,1.0743329958152494,3.023564736555651
Realism,T35,Avatar slope (fidelity sensitivity),-2.546219280746366,0.24373027169543449,1.0743329958152494,5.507759279298814
Realism,A16,Valence slope (disclosure sensitivity),0.009509846019626598,0.06165697193062544,0.03274516373562974,0.9840052334860176
Realism,A21,Valence slope (disclosure sensitivity),0.08277358512456147,0.06315993124224761,0.03274516373562974,5.623908804219728
Realism,A38,Valence slope (disclosure sensitivity),6.65334750536134e-4,0.044010946124203386,0.03274516373562974,0.15545136597581183
Realism,A4,Valence slope (disclosure sensitivity),-0.01954745994177907,0.05249901343320731,0.03274516373562974,0.7088844375911505
Realism,A47,Valence slope (disclosure sensitivity),-0.025144488977518923,0.05247325996610681,0.03274516373562974,0.8760553969050263
Realism,A57,Valence slope (disclosure sensitivity),-0.019240149680393944,0.056744744674177255,0.03274516373562974,0.9007011111574269
Realism,A9,Valence slope (disclosure sensitivity),0.018364419375267584,0.04896699894218193,0.03274516373562974,0.5380936881652133
Realism,B14,Valence slope (disclosure sensitivity),-0.07528059583203135,0.05939460172801987,0.03274516373562974,4.605412828524896
Realism,B54,Valence slope (disclosure sensitivity),0.09883673455494038,0.07070629279350896,0.03274516373562974,8.10324150950277
Realism,C18,Valence slope (disclosure sensitivity),-0.061129608261497846,0.053548596348724505,0.03274516373562974,3.012079963440755
Realism,C25,Valence slope (disclosure sensitivity),-0.015823903802433495,0.05769766858479198,0.03274516373562974,0.8694546302215553
Realism,C39,Valence slope (disclosure sensitivity),0.1793057262594682,0.1089157075741361,0.03274516373562974,27.154419216308625
Realism,C45,Valence slope (disclosure sensitivity),-0.004354923428193722,0.05304526044317325,0.03274516373562974,0.4884377939118332
Realism,C48,Valence slope (disclosure sensitivity),7.771939988582504e-4,0.04961879667241922,0.03274516373562974,0.33576790933958944
Realism,D41,Valence slope (disclosure sensitivity),0.07249963885930297,0.05947566906069271,0.03274516373562974,4.333449784842553
Realism,D42,Valence slope (disclosure sensitivity),0.009447857131679054,0.047823355636353815,0.03274516373562974,0.33088569807852575
Realism,E30,Valence slope (disclosure sensitivity),-0.055602412418005356,0.0536190591587839,0.03274516373562974,2.581207632765783
Realism,E33,Valence slope (disclosure sensitivity),-0.012044961490369339,0.04527306383127628,0.03274516373562974,0.28777504915783414
Realism,F17,Valence slope (disclosure sensitivity),0.11782340757059191,0.07835251299669632,0.03274516373562974,11.489291416840183
Realism,G36,Valence slope (disclosure sensitivity),-0.050477966383763756,0.052685698518007314,0.03274516373562974,2.1740858747076848
Realism,G50,Valence slope (disclosure sensitivity),-0.02910406350325081,0.04892177902324568,0.03274516373562974,0.879410246394759
Realism,H51,Valence slope (disclosure sensitivity),0.03463675396670535,0.04969305676917976,0.03274516373562974,1.1452602966642937
Realism,I1,Valence slope (disclosure sensitivity),-0.039971523987015124,0.05229265073199176,0.03274516373562974,1.517819846158955
Realism,I19,Valence slope (disclosure sensitivity),0.019071203196521096,0.04777440560705688,0.03274516373562974,0.5138489559582086
Realism,I49,Valence slope (disclosure sensitivity),0.053575943316571645,0.05383399419600045,0.03274516373562974,2.442130962729751
Realism,J13,Valence slope (disclosure sensitivity),0.016474657126039093,0.04819403682099743,0.03274516373562974,0.4662326198432413
Realism,J29,Valence slope (disclosure sensitivity),0.08621442100353123,0.06630396613672963,0.03274516373562974,6.218830586465172
Realism,J34,Valence slope (disclosure sensitivity),-0.019454583308002153,0.04520884857727781,0.03274516373562974,0.44293235179977924
Realism,J43,Valence slope (disclosure sensitivity),0.04531728117098334,0.05098216101677247,0.03274516373562974,1.770112500460505
Realism,J52,Valence slope (disclosure sensitivity),-0.059805230796049984,0.055750760157644554,0.03274516373562974,3.0081145186961114
Realism,K31,Valence slope (disclosure sensitivity),-0.017836045653267022,0.04996311370392203,0.03274516373562974,0.5624683584878738
Realism,K52,Valence slope (disclosure sensitivity),-0.004840744714762831,0.0478249083945506,0.03274516373562974,0.28665253718789235
Realism,L15,Valence slope (disclosure sensitivity),0.029713691162497675,0.048127803262343165,0.03274516373562974,0.8753007504953774
Realism,L37,Valence slope (disclosure sensitivity),-0.08856423899533115,0.06519321535379334,0.03274516373562974,6.421237332900456
Realism,L56,Valence slope (disclosure sensitivity),-0.0496452344459945,0.05560003546384759,0.03274516373562974,2.252626345463221
Realism,L8,Valence slope (disclosure sensitivity),-0.015032889712163714,0.05959997444081188,0.03274516373562974,0.9563490173257878
Realism,M23,Valence slope (disclosure sensitivity),-0.013531685286911161,0.04662154926290361,0.03274516373562974,0.3543779654681845
Realism,M24,Valence slope (disclosure sensitivity),-0.035863105203995924,0.04927098932438486,0.03274516373562974,1.1876298144542425
Realism,M5,Valence slope (disclosure sensitivity),0.0702579644107203,0.06087971981457227,0.03274516373562974,4.198182376326305
Realism,M56,Valence slope (disclosure sensitivity),-0.02545644729078862,0.05056323439706169,0.03274516373562974,0.8077708900943454
Realism,N10,Valence slope (disclosure sensitivity),0.005280013375752036,0.05380729457742844,0.03274516373562974,0.5286345983755025
Realism,N22,Valence slope (disclosure sensitivity),-0.01825184514318475,0.05723816676113406,0.03274516373562974,0.9011191734740932
Realism,N44,Valence slope (disclosure sensitivity),0.004361859920753935,0.056083445898829735,0.03274516373562974,0.631177981525182
Realism,N58,Valence slope (disclosure sensitivity),-0.011156529748806357,0.04529186976525988,0.03274516373562974,0.2744544397178721
Realism,O12,Valence slope (disclosure sensitivity),-0.11755649259169101,0.07674129810979616,0.03274516373562974,11.308889881126849
Realism,R20,Valence slope (disclosure sensitivity),-0.006197784513357882,0.047705047289063704,0.03274516373562974,0.2926472110366631
Realism,S11,Valence slope (disclosure sensitivity),0.059393123852887066,0.0534758327401191,0.03274516373562974,2.8680067719600144
Realism,S2,Valence slope (disclosure sensitivity),0.005503603769212655,0.045131145282634025,0.03274516373562974,0.20644794519636847
Realism,S28,Valence slope (disclosure sensitivity),-0.0167182454758105,0.05006286102209809,0.03274516373562974,0.5403185753664778
Realism,S38,Valence slope (disclosure sensitivity),-0.020136802385507163,0.04459692343745941,0.03274516373562974,0.44379388697303906
Realism,S46,Valence slope (disclosure sensitivity),-0.06180102813871654,0.05448861194353356,0.03274516373562974,3.1108227171924083
Realism,S5,Valence slope (disclosure sensitivity),-0.007482963648527496,0.04675949449383214,0.03274516373562974,0.2732677686605009
Realism,S6,Valence slope (disclosure sensitivity),0.01912262735431539,0.04972619537376555,0.03274516373562974,0.585425903818927
Realism,T26,Valence slope (disclosure sensitivity),-0.09373040953769268,0.06814362750411541,0.03274516373562974,7.255604688345828
Realism,T3,Valence slope (disclosure sensitivity),-0.043294493713321,0.05254084413565516,0.03274516373562974,1.714634804611599
Realism,T32,Valence slope (disclosure sensitivity),-0.08128224801585499,0.06332100263937715,0.03274516373562974,5.469344361033912
Realism,T35,Valence slope (disclosure sensitivity),0.14436615005504108,0.08754169302743785,0.03274516373562974,17.03663810160067
